id_inmueble,fuente,barrio,precio_cop,area_m2,habitaciones,banos,precio_x_m2
PANDA-5008600,Panda Inmobiliaria,Poblado,4600000,43,0,1,106976.74418604652
PANDA-5468246,Panda Inmobiliaria,Central,1900000,78,2,2,24358.97435897436
PANDA-5526756,Panda Inmobiliaria,Sierra Morena,29500000,2167,0,0,13613.290263036455
PANDA-5530632,Panda Inmobiliaria,La Estrella,33000000,865,0,5,38150.28901734104
PANDA-5721628,Panda Inmobiliaria,San Marcos,4300000,160,4,2,26875.0
PANDA-6031294,Panda Inmobiliaria,Centro,13500000,240,1,2,56250.0
PANDA-6044288,Panda Inmobiliaria,La Magnolia,4000000,120,3,2,33333.333333333336
PANDA-6199719,Panda Inmobiliaria,El Portal,11000000,300,4,5,36666.666666666664
PANDA-6248287,Panda Inmobiliaria,Centro,8000000,153,0,0,52287.5816993464
PANDA-6276045,Panda Inmobiliaria,Centro,4000000,154,0,2,25974.025974025975
PANDA-6310684,Panda Inmobiliaria,La Troja,20000000,1645,0,0,12158.0547112462
PANDA-6324143,Panda Inmobiliaria,Cervantes,2200000,25,0,1,88000.0
PANDA-6349240,Panda Inmobiliaria,Centro,1500000,40,0,1,37500.0
PANDA-6349260,Panda Inmobiliaria,Centro,1500000,40,0,1,37500.0
PANDA-6349334,Panda Inmobiliaria,Centro,1500000,40,0,1,37500.0
PANDA-6349341,Panda Inmobiliaria,Centro,1700000,40,0,1,42500.0
PANDA-6434687,Panda Inmobiliaria,Las Casitas,3200000,37,0,1,86486.48648648648
PANDA-6488049,Panda Inmobiliaria,San Isidro,3600000,200,3,2,18000.0
PANDA-6521186,Panda Inmobiliaria,Centro,5500000,33,0,2,166666.66666666666
PANDA-6588111,Panda Inmobiliaria,Poblado,6050000,68,0,1,88970.58823529411
PANDA-6670950,Panda Inmobiliaria,San Marcos,4800000,60,0,1,80000.0
PANDA-6672922,Panda Inmobiliaria,Las Margaritas,4500000,126,0,2,35714.28571428572
PANDA-6721347,Panda Inmobiliaria,La Floresta,2100000,80,2,2,26250.0
PANDA-6757394,Panda Inmobiliaria,Tablaza,1300000,52,2,2,25000.0
PANDA-6772693,Panda Inmobiliaria,Santa Barbara,2600000,62,2,1,41935.48387096774
PANDA-6776672,Panda Inmobiliaria,Las Casitas,3100000,37,0,1,83783.78378378379
PANDA-6808590,Panda Inmobiliaria,Conquistadores,7600000,140,0,1,54285.71428571428
PANDA-6828721,Panda Inmobiliaria,Sabaneta,2500000,67,2,2,37313.432835820895
PANDA-6896256,Panda Inmobiliaria,Centro,1200000,30,0,1,40000.0
PANDA-7047476,Panda Inmobiliaria,El Dorado,3600000,140,5,2,25714.285714285714
PANDA-7069876,Panda Inmobiliaria,Benedictinos,15000000,455,5,5,32967.03296703297
PANDA-7163393,Panda Inmobiliaria,Centro,1500000,20,0,1,75000.0
PANDA-7172296,Panda Inmobiliaria,Altos Del Escobero,4500000,100,3,2,45000.0
PANDA-7184098,Panda Inmobiliaria,Loma Del Escobero,18000000,525,5,4,34285.71428571428
PANDA-7193999,Panda Inmobiliaria,Centro,4500000,40,0,0,112500.0
PANDA-7194013,Panda Inmobiliaria,El Rodeo,5000000,54,0,0,92592.5925925926
PANDA-7204404,Panda Inmobiliaria,Centro,7000000,125,0,1,56000.0
PANDA-7214234,Panda Inmobiliaria,Andalucia,4500000,160,3,3,28125.0
PANDA-7229088,Panda Inmobiliaria,El Dorado,2600000,62,3,2,41935.48387096774
PANDA-7242263,Panda Inmobiliaria,Andalucia,3000000,50,0,1,60000.0
PANDA-7343031,Panda Inmobiliaria,Guayabal,3900000,80,3,2,48750.0
PANDA-7345657,Panda Inmobiliaria,Laureles,24500000,614,0,0,39902.28013029316
PANDA-7397405,Panda Inmobiliaria,Caribe,18000000,320,0,2,56250.0
PANDA-7399855,Panda Inmobiliaria,La Paz,2600000,42,0,1,61904.76190476191
PANDA-7445263,Panda Inmobiliaria,El Dorado,1500000,30,0,1,50000.0
PANDA-7449336,Panda Inmobiliaria,Loma El Atravesado,13000000,250,3,4,52000.0
PANDA-7557068,Panda Inmobiliaria,Loma Del Chocho,35000000,900,19,0,38888.88888888889
PANDA-7656475,Panda Inmobiliaria,Centro,1300000,15,0,1,86666.66666666667
