rango_precio,cantidad_inmuebles
"[0, 1200000)",89
"[1200000, 1800000)",190
"[1800000, 2500000)",171
"[2500000, 3500000)",280
"[3500000, 5000000)",236
"[5000000, 8000000)",167
"[8000000, 12000000)",52
"[12000000, infinito)",58
