rango_precio_promedio,barrios,cantidad_barrios,promedio_del_conglomerado,cantidad_inmuebles
"[0, 1200000)","ARANJUEZ, Aranjuez, CAICEDO, CAMPO AMOR, CAMPO VALDES, Caicedo, Copacabana, DOCE DE OCTUBRE, El Santuario, LA MILAGROSA, MANRIQUE, MORAVIA, Manrique, PLAYON DE LOS COMUNEROS, SALVADOR, SAN JAVIER, SEVILLA, San Cristobal",18,1011828.7,54.0
"[1200000, 1800000)","Alto Bonito, BELALCAZAR, BELLO, BOYACA, Barrio Santa Fe, Barrio Trinidad, Belencito, CALASANZ, CASTILLA, COPACABANA, CRISTOBAL, Campo Valdes, Cimarronas, ENCISO, El Carmen, Enciso, FLORENCIA, Fontibon, GIRARDOT, Guanteros, LAS PALMAS, Lopez de Mesa, Milagrosa, PEDREGAL, ROBLEDO, San Antonio de Prado, San Sebastian de Palmitas, Sopetran, Tablaza, Tranvia",30,1488718.38,118.0
"[1800000, 2500000)","ANDALUCIA, Antioquia Medellín, Aves María, BUENOS AIRES, Barrio Cristobal, Bello, Boyaca las Brisas, Buenos Aires, CABAÑAS, Castilla, Central, Cervantes, El Porvenir, Ferreria, Floresta, Guatape, ITAGUI, LA ESTRELLA, La Ceja, La Floresta, La Milagrosa, Los Colegios, María Auxiliadora, NIQUIA, Prado, Primavera, Robledo, Rosales, SANTA FE, SUCRE, San Antonio De Pereira, San Fernando, San Javier, San Jeronimo, San Rafael, Santa Monica, Sevilla, Tricentenario, VILLA HERMOSA",39,2112036.09,162.0
"[2500000, 3500000)","Alcala, BELEN, BOSTON, Barrio Cordoba, Barrio Incomar, Barro Blanco, Belen, Boston, Bucarest, CENTRO, Calasanz, El Chingui, El Dorado, El Esmeraldal, FLORESTA, Florida Nueva, GUARNE, GUAYABAL, Gualandayes, La Mota, La Paz, Las Cometas, Las Torres, Mesa, Metropolitano, Oasis, PALMITAS, Porvenir, Restrepo Naranjo, Rionegro, SABANETA, SAN JOAQUIN, Sabaneta, San Antonio, San Jose, San Mateo, Santa Barbara, Santa Fe de Antioquia, Señorial, Simon Bolivar, VELODROMO, Villa Hermosa",42,2869882.89,317.0
"[3500000, 5000000)","AMERICA, Altos Del Escobero, Andalucia, Astorga, CASTELLANA, CONQUISTADORES, Camino Verde, Castropol, Centro, Cerca exito de Colombia, Ciudad Del Rio, Ciudadela Coltejer, Conquistadores, Cristo Rey, Cumbres, FLORIDA NUEVA, Guayabal, LAURELES, LOS COLORES, La Cuenca, La Doctora, La Fe, La Frontera, La Magnolia, La Mina, Las Margaritas, Las Orquideas, Las Vegas, Loma Del Esmeraldal, Los Colores, Los Naranjos, Montego, Obrero, Otra Parte, PRADO, Pontevedra, RIONEGRO, SAN ANTONIO DE PRADO, SAN DIEGO, SAN PABLO, SIMON BOLIVAR, SURAMERICANA, San Diego Poblado, San Isidro, San Marcos, Trianon, Vereda Portento",47,4067309.67,228.0
"[5000000, 8000000)","Aguacatala, Antioquia Itagui, Castellana, ENVIGADO, El Carmelo, El Portal, El Retiro, El Rodeo, El Salado, El Tesoro, Envigado, Fisebad, Gualanday, Itagui, La America, La Estrella, La Loma Del Indio, Las Brujas, Las Casitas, Las Lomitas, Las Palmas, Laureles, Llanogrande, Loma De Las Brujas, Loma De Los Parra, Los Balsos, POBLADO, Poblado, Sajonia, Santa Maria De Los Angeles, Sector Pantanillo, Suramerica, Transversal Intermedia, Velodromo, ZuÑiga",35,6014262.65,304.0
"[8000000, 12000000)","Antioquia Sabaneta, Benedictinos, El Chocho, Guaimaro, Loma Del Escobero, Milla De Oro, San Joaquin, Vía San Antonio - La Ceja",8,9882083.33,20.0
"[12000000, infinito)","Aliadas Del Sur, Barrio Mesa, Capricentro, Caribe, ESTADIO, La Tolva, La Troja, Loma Del Chocho, Loma El Atravesado, Loma Los Mesa, Manila, Medellin, Provenza, Sierra Morena, Villagrande",15,25465666.67,40.0
