id_inmueble,fuente,barrio,precio_cop,area_m2,habitaciones,banos,precio_x_m2
ANUTI-39233,Anutibara,AMERICA,7500000,315,5,3,23809.52380952381
ANUTI-21254,Anutibara,AMERICA,1200000,25,0,1,48000.0
ANUTI-36616,Anutibara,AMERICA,2400000,150,2,3,16000.0
ANUTI-39336,Anutibara,ANDALUCIA,2000000,107,4,1,18691.58878504673
ANUTI-31942,Anutibara,ARANJUEZ,1500000,85,3,1,17647.058823529413
ANUTI-39423,Anutibara,ARANJUEZ,950000,43,1,1,22093.023255813954
ANUTI-12543,Anutibara,ARANJUEZ,880000,50,1,1,17600.0
ANUTI-36740,Anutibara,ARANJUEZ,750000,20,1,1,37500.0
ANUTI-24748,Anutibara,ARANJUEZ,1200000,50,2,1,24000.0
ANUTI-14001,Anutibara,ARANJUEZ,1700000,100,4,2,17000.0
ANUTI-36222,Anutibara,ARANJUEZ,850000,50,1,1,17000.0
ANUTI-39250,Anutibara,ARANJUEZ,1180000,48,0,1,24583.333333333332
ANUTI-39231,Anutibara,ARANJUEZ,1200000,45,1,1,26666.666666666668
ANUTI-19077,Anutibara,ARANJUEZ,1200000,55,2,1,21818.18181818182
ANUTI-39115,Anutibara,ARANJUEZ,1200000,45,2,1,26666.666666666668
ANUTI-12775,Anutibara,ARANJUEZ,1250000,60,3,1,20833.333333333332
ANUTI-37912,Anutibara,BELALCAZAR,1300000,49,1,1,26530.61224489796
ANUTI-39391,Anutibara,BELEN,2400000,70,2,1,34285.71428571428
ANUTI-39314,Anutibara,BELEN,2500000,90,3,1,27777.777777777777
ANUTI-39220,Anutibara,BELEN,850000,40,0,1,21250.0
ANUTI-39220,Anutibara,BELEN,850000,40,0,1,21250.0
ANUTI-39066,Anutibara,BELEN,850000,27,1,1,31481.48148148148
ANUTI-38948,Anutibara,BELEN,3700000,0,3,2,
ANUTI-38694,Anutibara,BELEN,2000000,80,3,3,25000.0
ANUTI-38191,Anutibara,BELEN,7000000,120,3,3,58333.333333333336
ANUTI-38179,Anutibara,BELEN,3500000,50,2,2,70000.0
ANUTI-38004,Anutibara,BELEN,950000,12,0,1,79166.66666666667
ANUTI-37468,Anutibara,BELEN,810000,0,1,0,
ANUTI-37128,Anutibara,BELEN,4700000,89,3,2,52808.988764044945
ANUTI-37115,Anutibara,BELEN,3800000,65,3,2,58461.53846153846
ANUTI-36558,Anutibara,BELEN,7000000,253,8,4,27667.98418972332
ANUTI-39401,Anutibara,BELLO,1200000,70,2,1,17142.85714285714
ANUTI-39045,Anutibara,BELLO,1300000,75,3,2,17333.333333333332
ANUTI-39381,Anutibara,BELLO,2000000,55,3,2,36363.63636363636
ANUTI-39295,Anutibara,BELLO,1500000,0,1,1,
ANUTI-39328,Anutibara,BELLO,1500000,90,3,1,16666.666666666668
ANUTI-30576,Anutibara,BELLO,1800000,55,3,2,32727.272727272728
ANUTI-39240,Anutibara,BELLO,2500000,98,3,2,25510.20408163265
ANUTI-39164,Anutibara,BELLO,1650000,55,3,2,30000.0
ANUTI-24121,Anutibara,BELLO,1300000,68,3,1,19117.647058823528
ANUTI-39034,Anutibara,BELLO,1300000,48,2,1,27083.333333333332
ANUTI-38780,Anutibara,BELLO,1700000,48,1,1,35416.666666666664
ANUTI-34704,Anutibara,BELLO,400000,50,2,1,8000.0
ANUTI-39412,Anutibara,BOSTON,1850000,68,2,2,27205.882352941175
ANUTI-39407,Anutibara,BOSTON,4500000,300,7,3,15000.0
ANUTI-17064,Anutibara,BOSTON,1300000,22,1,1,59090.90909090909
ANUTI-39282,Anutibara,BOSTON,800000,30,0,1,26666.666666666668
ANUTI-39262,Anutibara,BOSTON,2500000,120,3,2,20833.333333333332
ANUTI-33963,Anutibara,BOSTON,2200000,75,2,2,29333.333333333332
ANUTI-38992,Anutibara,BOSTON,2500000,77,4,2,32467.532467532466
ANUTI-20119,Anutibara,BOSTON,1500000,50,2,2,30000.0
ANUTI-38625,Anutibara,BOSTON,2900000,120,5,2,24166.666666666668
ANUTI-38600,Anutibara,BOSTON,5500000,178,0,1,30898.876404494382
ANUTI-35106,Anutibara,BOSTON,3500000,216,5,5,16203.703703703704
ANUTI-38139,Anutibara,BOSTON,2350000,67,2,1,35074.62686567164
ANUTI-37841,Anutibara,BOSTON,6500000,415,5,5,15662.650602409638
ANUTI-20334,Anutibara,BOYACA,1700000,72,3,1,23611.11111111111
ANUTI-19191,Anutibara,BUENOS AIRES,1400000,65,2,1,21538.46153846154
ANUTI-28775,Anutibara,BUENOS AIRES,1200000,40,2,1,30000.0
ANUTI-14946,Anutibara,BUENOS AIRES,1600000,55,3,2,29090.909090909092
ANUTI-39373,Anutibara,BUENOS AIRES,1800000,90,3,1,20000.0
ANUTI-39346,Anutibara,BUENOS AIRES,1550000,40,2,1,38750.0
ANUTI-19447,Anutibara,BUENOS AIRES,1600000,40,2,1,40000.0
ANUTI-39140,Anutibara,BUENOS AIRES,1800000,30,1,1,60000.0
ANUTI-15320,Anutibara,BUENOS AIRES,2300000,100,3,1,23000.0
ANUTI-37873,Anutibara,BUENOS AIRES,3500000,120,4,2,29166.666666666668
ANUTI-22349,Anutibara,CABAÑAS,2200000,70,3,1,31428.571428571428
ANUTI-34687,Anutibara,CABAÑAS,1400000,100,3,1,14000.0
