barrio,total_ofertas,avg_precio_m2,ranking_precio
SAN ANTONIO DE PRADO,8,15285.714285714286,168
Antioquia Itagui,4,15277.777777777777,169
Restrepo Naranjo,4,15229.885057471265,170
Aliadas Del Sur,4,15133.876600698486,171
Cimarronas,40,14948.136463466653,172
Fontibon,60,14671.608197319027,173
Alto Bonito,16,14371.491117814647,174
DOCE DE OCTUBRE,4,14285.714285714286,175
El Esmeraldal,8,14168.060200668895,176
CAMPO AMOR,4,14166.666666666666,177
Obrero,4,14112.90322580645,178
Los Naranjos,16,13838.141025641025,179
Cristo Rey,4,13750.0,180
La Floresta,4,13125.0,181
Montego,4,12666.666666666666,182
Metropolitano,4,12500.0,183
Central,4,12179.48717948718,184
San Mateo,4,10833.333333333334,185
San Fernando,4,9909.90990990991,186
La Milagrosa,4,9583.333333333334,187
San Isidro,4,9000.0,188
Sierra Morena,4,6806.645131518228,189
Sajonia,8,6104.166666666667,190
La Troja,4,6079.0273556231,191
