id_inmueble,fuente,barrio,precio_cop,area_m2,habitaciones,banos,precio_x_m2
SF-A11058,Santa Fe,Calasanz,1800000,53,3,0,33962.264150943396
SF-A12594,Santa Fe,Florida Nueva,5000000,190,7,0,26315.78947368421
SF-A13958,Santa Fe,Conquistadores,3800000,109,3,0,34862.38532110092
SF-A14166,Santa Fe,Laureles,2000000,58,2,0,34482.75862068965
SF-A16474,Santa Fe,Floresta,2390000,150,3,0,15933.333333333334
SF-A1919,Santa Fe,Prado,2000000,120,4,0,16666.666666666668
SF-A20362,Santa Fe,Laureles,2500000,50,2,0,50000.0
SF-A20468,Santa Fe,La Mota,2950000,85,3,0,34705.882352941175
SF-A21297,Santa Fe,Calasanz,4500000,400,4,0,11250.0
SF-A22373,Santa Fe,Santa Monica,2000000,50,2,0,40000.0
SF-A25653,Santa Fe,Santa Monica,1900000,53,2,0,35849.056603773584
SF-A25907,Santa Fe,Conquistadores,3600000,100,4,0,36000.0
SF-A26248,Santa Fe,Laureles,6800000,240,4,0,28333.333333333332
SF-A26408,Santa Fe,San Diego Poblado,4390000,80,2,0,54875.0
SF-A26884,Santa Fe,Rosales,2300000,85,3,0,27058.823529411766
SF-A27243,Santa Fe,Robledo,2000000,70,3,0,28571.428571428572
SF-A27454,Santa Fe,Laureles,3000000,84,3,0,35714.28571428572
SF-A27853,Santa Fe,Laureles,2750000,98,3,0,28061.224489795917
SF-A28542,Santa Fe,Belen,1900000,65,2,0,29230.76923076923
SF-A30032,Santa Fe,Calasanz,2500000,80,2,0,31250.0
SF-A30711,Santa Fe,Belen,2100000,68,3,0,30882.352941176472
SF-A30812,Santa Fe,Laureles,3800000,160,4,0,23750.0
SF-A31590,Santa Fe,Florida Nueva,2900000,100,2,0,29000.0
SF-A31627,Santa Fe,Florida Nueva,2500000,70,2,0,35714.28571428572
SF-A3195,Santa Fe,Belen,1650000,55,2,0,30000.0
SF-A32694,Santa Fe,Simon Bolivar,2600000,87,3,0,29885.05747126437
SF-A3284,Santa Fe,La America,2200000,79,3,0,27848.101265822785
SF-A33111,Santa Fe,Milagrosa,1300000,42,2,0,30952.380952380954
SF-A33254,Santa Fe,Florida Nueva,3600000,118,3,0,30508.474576271186
SF-A34196,Santa Fe,Envigado,2100000,70,2,0,30000.0
SF-A34227,Santa Fe,Florida Nueva,3200000,80,3,0,40000.0
SF-A34419,Santa Fe,Floresta,2300000,80,3,0,28750.0
SF-A35270,Santa Fe,Castilla,1800000,72,3,0,25000.0
SF-A35618,Santa Fe,Calasanz,2500000,52,2,0,48076.92307692308
SF-A36514,Santa Fe,Simon Bolivar,3500000,86,3,0,40697.67441860465
SF-A36799,Santa Fe,Simon Bolivar,1950000,70,3,0,27857.14285714286
SF-A37068,Santa Fe,Envigado,3500000,84,2,0,41666.666666666664
SF-A37185,Santa Fe,Poblado,5500000,225,3,0,24444.444444444445
SF-A37287,Santa Fe,Poblado,4500000,147,4,0,30612.244897959183
SF-A37434,Santa Fe,Aranjuez,1400000,60,2,0,23333.333333333332
SF-A37887,Santa Fe,Enciso,1300000,60,3,0,21666.666666666668
SF-A38350,Santa Fe,Rionegro,1800000,55,2,0,32727.272727272728
SF-A38603,Santa Fe,Bello,1500000,38,2,0,39473.68421052631
SF-A38689,Santa Fe,Poblado,3500000,147,3,0,23809.52380952381
SF-A38811,Santa Fe,Simon Bolivar,2800000,85,3,0,32941.17647058824
SF-A38930,Santa Fe,La Mota,2600000,68,3,0,38235.294117647056
SF-A40321,Santa Fe,Laureles,3800000,110,4,0,34545.454545454544
SF-A40546,Santa Fe,Envigado,3000000,73,3,0,41095.890410958906
SF-A40780,Santa Fe,Belen,4900000,240,5,0,20416.666666666668
SF-A41688,Santa Fe,San Javier,890000,30,0,0,29666.666666666668
SF-A42108,Santa Fe,Itagui,1750000,88,2,0,19886.363636363636
SF-A42284,Santa Fe,Bello,1800000,54,2,0,33333.333333333336
SF-A42319,Santa Fe,Robledo,1200000,45,2,0,26666.666666666668
SF-A42867,Santa Fe,Poblado,11000000,240,4,0,45833.333333333336
SF-A43751,Santa Fe,Prado,2000000,85,2,0,23529.41176470588
SF-A44005,Santa Fe,Poblado,4400000,120,3,0,36666.666666666664
SF-A44115,Santa Fe,Poblado,5900000,102,4,0,57843.13725490196
SF-A44128,Santa Fe,Laureles,2500000,65,2,0,38461.53846153846
SF-A44717,Santa Fe,Prado,1500000,60,2,0,25000.0
SF-A45224,Santa Fe,Santa Monica,2600000,60,2,0,43333.333333333336
SF-A45466,Santa Fe,Robledo,1100000,48,3,0,22916.666666666668
SF-A45666,Santa Fe,Sabaneta,5500000,70,3,0,78571.42857142857
SF-A45924,Santa Fe,Santa Monica,700000,15,0,0,46666.666666666664
SF-A46080,Santa Fe,Barrio Cristobal,1800000,32,2,0,56250.0
SF-A46092,Santa Fe,Poblado,5200000,100,2,0,52000.0
SF-A4617,Santa Fe,Laureles,3300000,112,4,0,29464.285714285714
SF-A4633,Santa Fe,Barrio Cristobal,2000000,48,2,0,41666.666666666664
SF-A4691,Santa Fe,Barrio Santa Fe,1500000,60,3,0,25000.0
SF-A47273,Santa Fe,Envigado,1800000,52,3,0,34615.38461538462
SF-A47681,Santa Fe,Floresta,2000000,63,3,0,31746.031746031746
SF-A48492,Santa Fe,Velodromo,4200000,120,5,0,35000.0
SF-A49347,Santa Fe,Envigado,5650000,167,5,0,33832.33532934132
SF-A49463,Santa Fe,Belen,3250000,75,2,0,43333.333333333336
SF-A49540,Santa Fe,Belen,2200000,65,2,0,33846.153846153844
SF-A49651,Santa Fe,Laureles,10000000,190,6,0,52631.57894736842
SF-A49741,Santa Fe,Laureles,2000000,15,0,0,133333.33333333334
SF-A49941,Santa Fe,San Diego Poblado,3600000,68,2,0,52941.17647058824
SF-A50389,Santa Fe,San Antonio de Prado,1350000,50,3,0,27000.0
SF-A50720,Santa Fe,Belen,2400000,60,3,0,40000.0
SF-A51618,Santa Fe,Robledo,1300000,56,3,0,23214.285714285714
SF-A51785,Santa Fe,Envigado,4400000,77,2,0,57142.857142857145
SF-A51975,Santa Fe,Barrio Santa Fe,1690000,48,2,0,35208.333333333336
SF-A52251,Santa Fe,Velodromo,2500000,110,3,0,22727.272727272728
SF-A52253,Santa Fe,Florida Nueva,2980000,110,3,0,27090.909090909092
SF-A52480,Santa Fe,Laureles,4950000,95,3,0,52105.26315789474
SF-A52559,Santa Fe,Aranjuez,750000,35,2,0,21428.571428571428
SF-A53387,Santa Fe,Centro,2000000,43,2,0,46511.62790697674
SF-A53420,Santa Fe,Florida Nueva,3800000,130,3,0,29230.76923076923
SF-A53657,Santa Fe,Bello,1850000,56,3,0,33035.71428571428
SF-A53665,Santa Fe,Prado,2000000,60,2,0,33333.333333333336
SF-A53923,Santa Fe,San Javier,2500000,90,3,0,27777.777777777777
SF-A53990,Santa Fe,Poblado,11800000,300,4,0,39333.333333333336
SF-A54269,Santa Fe,Laureles,5100000,163,4,0,31288.34355828221
SF-A54276,Santa Fe,Prado,1850000,70,4,0,26428.571428571428
SF-A54448,Santa Fe,Envigado,3700000,120,3,0,30833.333333333332
SF-A54523,Santa Fe,Robledo,2500000,72,4,0,34722.22222222222
SF-A54902,Santa Fe,Santa Fe de Antioquia,1200000,47,2,0,25531.91489361702
SF-A55056,Santa Fe,Guatape,800000,40,2,0,20000.0
SF-A55358,Santa Fe,Sopetran,1700000,180,3,0,9444.444444444445
SF-A55367,Santa Fe,Buenos Aires,2100000,77,3,0,27272.727272727272
SF-A55654,Santa Fe,Poblado,10000000,120,3,0,83333.33333333333
SF-A55921,Santa Fe,Poblado,7100000,104,3,0,68269.23076923077
SF-A55982,Santa Fe,Los Colores,2900000,80,3,0,36250.0
SF-A56130,Santa Fe,Itagui,2200000,65,2,0,33846.153846153844
SF-A56319,Santa Fe,Boston,1400000,62,3,0,22580.645161290322
SF-A56522,Santa Fe,Boston,6000000,200,7,0,30000.0
SF-A56823,Santa Fe,Poblado,4500000,70,3,0,64285.71428571428
SF-A57113,Santa Fe,San Jeronimo,2650000,69,2,0,38405.79710144927
SF-A57118,Santa Fe,San Jeronimo,2350000,77,3,0,30519.48051948052
SF-A57120,Santa Fe,San Jeronimo,2900000,77,3,0,37662.33766233766
SF-A57121,Santa Fe,San Jeronimo,2350000,77,3,0,30519.48051948052
SF-A57122,Santa Fe,San Jeronimo,2350000,77,3,0,30519.48051948052
SF-A57123,Santa Fe,San Jeronimo,2350000,77,3,0,30519.48051948052
SF-A57124,Santa Fe,San Jeronimo,2350000,77,3,0,30519.48051948052
SF-A57125,Santa Fe,San Jeronimo,2350000,77,3,0,30519.48051948052
SF-A57127,Santa Fe,San Jeronimo,2900000,77,3,0,37662.33766233766
SF-A57133,Santa Fe,San Jeronimo,2350000,77,3,0,30519.48051948052
SF-A57165,Santa Fe,Robledo,1500000,52,2,0,28846.153846153848
SF-A57238,Santa Fe,San Diego Poblado,4500000,85,3,0,52941.17647058824
SF-A57271,Santa Fe,Robledo,1600000,49,3,0,32653.061224489797
SF-A57333,Santa Fe,Poblado,5300000,145,4,0,36551.724137931036
SF-A57474,Santa Fe,Sabaneta,3500000,85,3,0,41176.470588235294
SF-A57589,Santa Fe,Centro,10000000,380,6,0,26315.78947368421
SF-A57661,Santa Fe,Robledo,1250000,60,3,0,20833.333333333332
SF-A57701,Santa Fe,Envigado,3500000,75,3,0,46666.666666666664
SF-A57748,Santa Fe,Velodromo,5800000,170,4,0,34117.64705882353
SF-A57901,Santa Fe,San Diego Poblado,2900000,50,2,0,58000.0
SF-A58078,Santa Fe,La America,2800000,60,3,0,46666.666666666664
SF-A58235,Santa Fe,San Joaquin,3300000,108,2,0,30555.555555555555
SF-A58249,Santa Fe,Belen,4500000,80,3,0,56250.0
